UF,Município,Situação
BA,BAIANOPOLIS,Aprovado
PA,BAIAO,Não Cadastrado
BA,BAIXA GRANDE,Aprovado
PI,BAIXA GRANDE DO RIBEIRO,Não Cadastrado
CE,BAIXIO,Aprovado
ES,BAIXO GUANDU,Aprovado
SP,BALBINOS,Aprovado
MG,BALDIM,Não Cadastrado
GO,BALIZA,Não Cadastrado
SC,BALNEARIO ARROIO DO SILVA,Aprovado
SC,BALNEARIO BARRA DO SUL,Aprovado
SC,BALNEARIO CAMBORIU,Aprovado
SC,BALNEARIO GAIVOTA,Aprovado
SC,BALNEARIO PICARRAS,Aprovado
RS,BALNEARIO PINHAL,Aprovado
SC,BALNEARIO RINCAO,Não Cadastrado
PR,BALSA NOVA,Não Cadastrado
SP,BALSAMO,Não Cadastrado
MA,BALSAS,Aprovado
MG,BAMBUI,Aprovado
CE,BANABUIU,Aprovado
SP,BANANAL,Aprovado
PB,BANANEIRAS,Aprovado
MG,BANDEIRA,Aprovado
MG,BANDEIRA DO SUL,Não Cadastrado
SC,BANDEIRANTE,Não Cadastrado
PR,BANDEIRANTES,Não Cadastrado
MS,BANDEIRANTES,Aprovado
TO,BANDEIRANTES DO TOCANTINS,Aprovado
PA,BANNACH,Não Cadastrado
BA,BANZAE,Aprovado
RS,BARAO,Não Cadastrado
SP,BARAO DE ANTONINA,Não Cadastrado
MG,BARAO DE COCAIS,Aprovado
RS,BARAO DE COTEGIPE,Não Cadastrado
MA,BARAO DE GRAJAU,Aprovado
MT,BARAO DE MELGACO,Não Cadastrado
MG,BARAO DE MONTE ALTO,Em Cadastro
RS,BARAO DO TRIUNFO,Aprovado
RN,BARAUNA,Aprovado
PB,BARAUNA,Aprovado
MG,BARBACENA,Aprovado
CE,BARBALHA,Aprovado
SP,BARBOSA,Não Cadastrado
PR,BARBOSA FERRAZ,Aprovado
PA,BARCARENA,Aprovado
RN,BARCELONA,Aprovado
AM,BARCELOS,Em Cadastro
SP,BARIRI,Aprovado
BA,BARRA,Aprovado
SP,BARRA BONITA,Aprovado
SC,BARRA BONITA,Não Cadastrado
PI,BARRA D'ALCANTARA,Aprovado
BA,BARRA DA ESTIVA,Aprovado
PE,BARRA DE GUABIRABA,Aprovado
PB,BARRA DE SANTA ROSA,Aprovado
PB,BARRA DE SANTANA,Aprovado
AL,BARRA DE SANTO ANTONIO,Aprovado
ES,BARRA DE SAO FRANCISCO,Aprovado
AL,BARRA DE SAO MIGUEL,Aprovado
PB,BARRA DE SAO MIGUEL,Aprovado
MT,BARRA DO BUGRES,Aprovado
SP,BARRA DO CHAPEU,Aprovado
BA,BARRA DO CHOCA,Aprovado
MA,BARRA DO CORDA,Aprovado
MT,BARRA DO GARCAS,Aprovado
RS,BARRA DO GUARITA,Aprovado
PR,BARRA DO JACARE,Não Cadastrado
BA,BARRA DO MENDES,Aprovado
TO,BARRA DO OURO,Aprovado
RJ,BARRA DO PIRAI,Aprovado
RS,BARRA DO QUARAI,Aprovado
RS,BARRA DO RIBEIRO,Aprovado
RS,BARRA DO RIO AZUL,Aprovado
BA,BARRA DO ROCHA,Em Análise
SP,BARRA DO TURVO,Em Complementação
SE,BARRA DOS COQUEIROS,Não Cadastrado
RS,BARRA FUNDA,Aprovado
MG,BARRA LONGA,Aprovado
RJ,BARRA MANSA,Aprovado
SC,BARRA VELHA,Aprovado
PR,BARRACAO,Aprovado
RS,BARRACAO,Aprovado
PI,BARRAS,Aprovado
CE,BARREIRA,Aprovado
BA,BARREIRAS,Aprovado
PI,BARREIRAS DO PIAUI,Não Cadastrado
AM,BARREIRINHA,Aprovado
MA,BARREIRINHAS,Aprovado
PE,BARREIROS,Aprovado
SP,BARRETOS,Aprovado
SP,BARRINHA,Aprovado
CE,BARRO,Aprovado
BA,BARRO ALTO,Aprovado
GO,BARRO ALTO,Aprovado
PI,BARRO DURO,Aprovado
BA,BARRO PRETO,Não Cadastrado
BA,BARROCAS,Aprovado
TO,BARROLANDIA,Aprovado
CE,BARROQUINHA,Aprovado
RS,BARROS CASSAL,Aprovado
MG,BARROSO,Aprovado
SP,BARUERI,Aprovado
SP,BASTOS,Aprovado
MS,BATAGUASSU,Aprovado
AL,BATALHA,Aprovado
PI,BATALHA,Aprovado
SP,BATATAIS,Aprovado
MS,BATAYPORA,Aprovado
CE,BATURITE,Aprovado
SP,BAURU,Aprovado
PB,BAYEUX,Aprovado
SP,BEBEDOURO,Aprovado
CE,BEBERIBE,Aprovado
CE,BELA CRUZ,Aprovado
MS,BELA VISTA,Aprovado
PR,BELA VISTA DA CAROBA,Não Cadastrado
GO,BELA VISTA DE GOIAS,Aprovado
MG,BELA VISTA DE MINAS,Aprovado
MA,BELA VISTA DO MARANHAO,Em Análise
PR,BELA VISTA DO PARAISO,Em Cadastro
PI,BELA VISTA DO PIAUI,Não Cadastrado
SC,BELA VISTA DO TOLDO,Não Cadastrado
MA,BELAGUA,Aprovado
PA,BELEM,Aprovado
AL,BELEM,Aprovado
PB,BELEM,Aprovado
PE,BELEM DE MARIA,Aprovado
PE,BELEM DE SAO FRANCISCO,Aprovado
PB,BELEM DO BREJO DO CRUZ,Aprovado
PI,BELEM DO PIAUI,Aprovado
RJ,BELFORD ROXO,Aprovado
MG,BELMIRO BRAGA,Em Complementação
BA,BELMONTE,Aprovado
SC,BELMONTE,Em Cadastro
BA,BELO CAMPO,Aprovado
MG,BELO HORIZONTE,Aprovado
PE,BELO JARDIM,Aprovado
AL,BELO MONTE,Aprovado
MG,BELO ORIENTE,Em Análise
MG,BELO VALE,Aprovado
PA,BELTERRA,Aprovado
PI,BENEDITINOS,Aprovado
MA,BENEDITO LEITE,Aprovado
SC,BENEDITO NOVO,Aprovado
PA,BENEVIDES,Aprovado
AM,BENJAMIN CONSTANT,Aprovado
RS,BENJAMIN CONSTANT DO SUL,Não Cadastrado
SP,BENTO DE ABREU,Não Cadastrado
RN,BENTO FERNANDES,Não Cadastrado
RS,BENTO GONCALVES,Aprovado
MA,BEQUIMAO,Aprovado
MG,BERILO,Aprovado
MG,BERIZAL,Aprovado
PB,BERNARDINO BATISTA,Aprovado
SP,BERNARDINO DE CAMPOS,Aprovado
MA,BERNARDO DO MEARIM,Aprovado
TO,BERNARDO SAYAO,Não Cadastrado
SP,BERTIOGA,Aprovado
PI,BERTOLINIA,Aprovado
MG,BERTOPOLIS,Aprovado
AM,BERURI,Não Cadastrado
PE,BETANIA,Aprovado
PI,BETANIA DO PIAUI,Aprovado
MG,BETIM,Aprovado
PE,BEZERROS,Aprovado
MG,BIAS FORTES,Aprovado
MG,BICAS,Aprovado
SC,BIGUACU,Aprovado
SP,BILAC,Não Cadastrado
MG,BIQUINHAS,Aprovado
SP,BIRIGUI,Aprovado
SP,BIRITIBA-MIRIM,Aprovado
BA,BIRITINGA,Aprovado
PR,BITURUNA,Aprovado
SC,BLUMENAU,Aprovado
ES,BOA ESPERANCA,Aprovado
PR,BOA ESPERANCA,Não Cadastrado
MG,BOA ESPERANCA,Aprovado
PR,BOA ESPERANCA DO IGUACU,Não Cadastrado
SP,BOA ESPERANCA DO SUL,Aprovado
PI,BOA HORA,Aprovado
BA,BOA NOVA,Aprovado
PB,BOA VENTURA,Não Cadastrado
PR,BOA VENTURA DE SAO ROQUE,Aprovado
CE,BOA VIAGEM,Aprovado
PB,BOA VISTA,Aprovado
RR,BOA VISTA,Aprovado
PR,BOA VISTA DA APARECIDA,Aprovado
RS,BOA VISTA DAS MISSOES,Aprovado
RS,BOA VISTA DO BURICA,Aprovado
RS,BOA VISTA DO CADEADO,Em Análise
MA,BOA VISTA DO GURUPI,Aprovado
RS,BOA VISTA DO INCRA,Aprovado
AM,BOA VISTA DO RAMOS,Em Complementação
RS,BOA VISTA DO SUL,Não Cadastrado
BA,BOA VISTA DO TUPIM,Aprovado
AL,BOCA DA MATA,Aprovado
AM,BOCA DO ACRE,Não Cadastrado
PI,BOCAINA,Aprovado
SP,BOCAINA,Aprovado
MG,BOCAINA DE MINAS,Aprovado
SC,BOCAINA DO SUL,Não Cadastrado
MG,BOCAIUVA,Aprovado
PR,BOCAIUVA DO SUL,Aprovado
RN,BODO,Aprovado
PE,BODOCO,Aprovado
MS,BODOQUENA,Aprovado
SP,BOFETE,Não Cadastrado
SP,BOITUVA,Aprovado
PE,BOM CONSELHO,Aprovado
MG,BOM DESPACHO,Aprovado
MA,BOM JARDIM,Aprovado
RJ,BOM JARDIM,Aprovado
PE,BOM JARDIM,Aprovado
SC,BOM JARDIM DA SERRA,Não Cadastrado
GO,BOM JARDIM DE GOIAS,Não Cadastrado
MG,BOM JARDIM DE MINAS,Não Cadastrado
SC,BOM JESUS,Não Cadastrado
PB,BOM JESUS,Aprovado
RN,BOM JESUS,Não Cadastrado
PI,BOM JESUS,Aprovado
RS,BOM JESUS,Aprovado
BA,BOM JESUS DA LAPA,Aprovado
MG,BOM JESUS DA PENHA,Aprovado
BA,BOM JESUS DA SERRA,Aprovado
MA,BOM JESUS DAS SELVAS,Aprovado
GO,BOM JESUS DE GOIAS,Em Cadastro
MG,BOM JESUS DO AMPARO,Em Análise
MT,BOM JESUS DO ARAGUAIA,Em Cadastro
MG,BOM JESUS DO GALHO,Aprovado
RJ,BOM JESUS DO ITABAPOANA,Aprovado
ES,BOM JESUS DO NORTE,Não Cadastrado
SC,BOM JESUS DO OESTE,Aprovado
PR,BOM JESUS DO SUL,Aprovado
TO,BOM JESUS DO TOCANTINS,Aprovado
PA,BOM JESUS DO TOCANTINS,Aprovado
SP,BOM JESUS DOS PERDOES,Aprovado
MA,BOM LUGAR,Aprovado
RS,BOM PRINCIPIO,Aprovado
PI,BOM PRINCIPIO DO PIAUI,Aprovado
RS,BOM PROGRESSO,Aprovado
MG,BOM REPOUSO,Não Cadastrado
SC,BOM RETIRO,Não Cadastrado
RS,BOM RETIRO DO SUL,Aprovado
PB,BOM SUCESSO,Aprovado
MG,BOM SUCESSO,Não Cadastrado
PR,BOM SUCESSO,Aprovado
SP,BOM SUCESSO DE ITARARE,Aprovado
PR,BOM SUCESSO DO SUL,Aprovado
SC,BOMBINHAS,Aprovado
RR,BONFIM,Aprovado
MG,BONFIM,Aprovado
PI,BONFIM DO PIAUI,Aprovado
GO,BONFINOPOLIS,Aprovado
MG,BONFINOPOLIS DE MINAS,Aprovado
BA,BONINAL,Aprovado
BA,BONITO,Aprovado
MS,BONITO,Aprovado
PA,BONITO,Aprovado
PE,BONITO,Aprovado
MG,BONITO DE MINAS,Em Cadastro
PB,BONITO DE SANTA FE,Aprovado
GO,BONOPOLIS,Não Cadastrado
