UF,Município,Situação
PE,IGARASSU,Aprovado
SP,IGARATA,Aprovado
MG,IGARATINGA,Aprovado
BA,IGRAPIUNA,Aprovado
AL,IGREJA NOVA,Aprovado
RS,IGREJINHA,Aprovado
RJ,IGUABA GRANDE,Aprovado
BA,IGUAI,Aprovado
SP,IGUAPE,Aprovado
PE,IGUARACI,Aprovado
PR,IGUARACU,Aprovado
MG,IGUATAMA,Aprovado
MS,IGUATEMI,Aprovado
CE,IGUATU,Aprovado
PR,IGUATU,Aprovado
MG,IJACI,Aprovado
RS,IJUI,Aprovado
SP,ILHA COMPRIDA,Aprovado
SE,ILHA DAS FLORES,Aprovado
PE,ILHA DE ITAMARACA,Aprovado
PI,ILHA GRANDE,Não Cadastrado
SP,ILHA SOLTEIRA,Aprovado
SP,ILHABELA,Aprovado
BA,ILHEUS,Aprovado
SC,ILHOTA,Aprovado
MG,ILICINEA,Aprovado
RS,ILOPOLIS,Aprovado
PB,IMACULADA,Aprovado
SC,IMARUI,Não Cadastrado
PR,IMBAU,Não Cadastrado
RS,IMBE,Aprovado
MG,IMBE DE MINAS,Não Cadastrado
SC,IMBITUBA,Aprovado
PR,IMBITUVA,Não Cadastrado
SC,IMBUIA,Aprovado
RS,IMIGRANTE,Aprovado
MA,IMPERATRIZ,Aprovado
PR,INACIO MARTINS,Aprovado
GO,INACIOLANDIA,Não Cadastrado
PR,INAJA,Aprovado
PE,INAJA,Aprovado
MG,INCONFIDENTES,Aprovado
MG,INDAIABIRA,Em Complementação
SC,INDAIAL,Aprovado
SP,INDAIATUBA,Aprovado
CE,INDEPENDENCIA,Aprovado
RS,INDEPENDENCIA,Aprovado
SP,INDIANA,Em Cadastro
PR,INDIANOPOLIS,Não Cadastrado
MG,INDIANOPOLIS,Aprovado
SP,INDIAPORA,Não Cadastrado
GO,INDIARA,Em Cadastro
SE,INDIAROBA,Aprovado
MT,INDIAVAI,Não Cadastrado
PB,INGA,Aprovado
MG,INGAI,Não Cadastrado
PE,INGAZEIRA,Aprovado
RS,INHACORA,Aprovado
BA,INHAMBUPE,Aprovado
PA,INHANGAPI,Aprovado
AL,INHAPI,Em Cadastro
MG,INHAPIM,Aprovado
MG,INHAUMA,Aprovado
PI,INHUMA,Aprovado
GO,INHUMAS,Em Cadastro
MG,INIMUTABA,Aprovado
MS,INOCENCIA,Não Cadastrado
SP,INUBIA PAULISTA,Aprovado
SC,IOMERE,Aprovado
MG,IPABA,Não Cadastrado
GO,IPAMERI,Aprovado
MG,IPANEMA,Aprovado
RN,IPANGUACU,Aprovado
CE,IPAPORANGA,Aprovado
MG,IPATINGA,Aprovado
CE,IPAUMIRIM,Aprovado
SP,IPAUSSU,Aprovado
RS,IPE,Aprovado
BA,IPECAETA,Aprovado
SP,IPERO,Aprovado
SP,IPEUNA,Não Cadastrado
MG,IPIACU,Aprovado
BA,IPIAU,Aprovado
SP,IPIGUA,Aprovado
SC,IPIRA,Aprovado
BA,IPIRA,Aprovado
PR,IPIRANGA,Não Cadastrado
GO,IPIRANGA DE GOIAS,Aprovado
MT,IPIRANGA DO NORTE,Aprovado
PI,IPIRANGA DO PIAUI,Aprovado
RS,IPIRANGA DO SUL,Aprovado
AM,IPIXUNA,Não Cadastrado
PA,IPIXUNA DO PARA,Aprovado
PE,IPOJUCA,Aprovado
PR,IPORA,Não Cadastrado
GO,IPORA,Aprovado
SC,IPORA DO OESTE,Aprovado
SP,IPORANGA,Aprovado
CE,IPU,Aprovado
SP,IPUA,Aprovado
SC,IPUACU,Aprovado
PE,IPUBI,Aprovado
RN,IPUEIRA,Aprovado
CE,IPUEIRAS,Aprovado
TO,IPUEIRAS,Não Cadastrado
MG,IPUIUNA,Aprovado
SC,IPUMIRIM,Não Cadastrado
BA,IPUPIARA,Não Cadastrado
CE,IRACEMA,Aprovado
RR,IRACEMA,Não Cadastrado
PR,IRACEMA DO OESTE,Não Cadastrado
SP,IRACEMAPOLIS,Aprovado
SC,IRACEMINHA,Aprovado
RS,IRAI,Aprovado
MG,IRAI DE MINAS,Não Cadastrado
BA,IRAJUBA,Aprovado
BA,IRAMAIA,Aprovado
AM,IRANDUBA,Aprovado
SC,IRANI,Aprovado
SP,IRAPUA,Não Cadastrado
SP,IRAPURU,Aprovado
BA,IRAQUARA,Aprovado
BA,IRARA,Aprovado
SC,IRATI,Não Cadastrado
PR,IRATI,Aprovado
CE,IRAUCUBA,Aprovado
BA,IRECE,Aprovado
PR,IRETAMA,Aprovado
SC,IRINEOPOLIS,Aprovado
PA,IRITUIA,Aprovado
ES,IRUPI,Aprovado
PI,ISAIAS COELHO,Aprovado
GO,ISRAELANDIA,Não Cadastrado
SC,ITA,Aprovado
RS,ITAARA,Aprovado
PB,ITABAIANA,Aprovado
SE,ITABAIANA,Aprovado
SE,ITABAIANINHA,Aprovado
BA,ITABELA,Aprovado
SP,ITABERA,Aprovado
BA,ITABERABA,Aprovado
GO,ITABERAI,Aprovado
SE,ITABI,Aprovado
MG,ITABIRA,Aprovado
MG,ITABIRINHA,Não Cadastrado
MG,ITABIRITO,Aprovado
RJ,ITABORAI,Aprovado
BA,ITABUNA,Aprovado
TO,ITACAJA,Aprovado
MG,ITACAMBIRA,Aprovado
MG,ITACARAMBI,Aprovado
BA,ITACARE,Aprovado
AM,ITACOATIARA,Aprovado
PE,ITACURUBA,Aprovado
RS,ITACURUBI,Aprovado
BA,ITAETE,Aprovado
BA,ITAGI,Aprovado
BA,ITAGIBA,Aprovado
BA,ITAGIMIRIM,Rejeitado
ES,ITAGUACU,Aprovado
BA,ITAGUACU DA BAHIA,Aprovado
RJ,ITAGUAI,Aprovado
PR,ITAGUAJE,Em Análise
MG,ITAGUARA,Aprovado
GO,ITAGUARI,Não Cadastrado
GO,ITAGUARU,Não Cadastrado
TO,ITAGUATINS,Aprovado
SP,ITAI,Aprovado
PE,ITAIBA,Aprovado
CE,ITAICABA,Aprovado
PI,ITAINOPOLIS,Aprovado
SC,ITAIOPOLIS,Aprovado
MA,ITAIPAVA DO GRAJAU,Aprovado
MG,ITAIPE,Aprovado
PR,ITAIPULANDIA,Não Cadastrado
CE,ITAITINGA,Aprovado
PA,ITAITUBA,Aprovado
GO,ITAJA,Não Cadastrado
RN,ITAJA,Aprovado
SC,ITAJAI,Aprovado
SP,ITAJOBI,Não Cadastrado
SP,ITAJU,Não Cadastrado
BA,ITAJU DO COLONIA,Aprovado
MG,ITAJUBA,Aprovado
BA,ITAJUIPE,Aprovado
RJ,ITALVA,Aprovado
BA,ITAMARAJU,Aprovado
MG,ITAMARANDIBA,Aprovado
AM,ITAMARATI,Não Cadastrado
MG,ITAMARATI DE MINAS,Aprovado
BA,ITAMARI,Não Cadastrado
MG,ITAMBACURI,Aprovado
PR,ITAMBARACA,Não Cadastrado
PR,ITAMBE,Não Cadastrado
BA,ITAMBE,Aprovado
PE,ITAMBE,Aprovado
MG,ITAMBE DO MATO DENTRO,Não Cadastrado
MG,ITAMOGI,Aprovado
MG,ITAMONTE,Aprovado
BA,ITANAGRA,Não Cadastrado
SP,ITANHAEM,Aprovado
MG,ITANHANDU,Aprovado
MT,ITANHANGA,Aprovado
BA,ITANHEM,Aprovado
MG,ITANHOMI,Não Cadastrado
MG,ITAOBIM,Aprovado
SP,ITAOCA,Aprovado
RJ,ITAOCARA,Aprovado
GO,ITAPACI,Não Cadastrado
CE,ITAPAGE,Aprovado
MG,ITAPAGIPE,Não Cadastrado
BA,ITAPARICA,Aprovado
BA,ITAPE,Aprovado
BA,ITAPEBI,Aprovado
MG,ITAPECERICA,Aprovado
SP,ITAPECERICA DA SERRA,Aprovado
MA,ITAPECURU MIRIM,Aprovado
PR,ITAPEJARA D'OESTE,Não Cadastrado
SC,ITAPEMA,Aprovado
ES,ITAPEMIRIM,Não Cadastrado
PR,ITAPERUCU,Em Cadastro
RJ,ITAPERUNA,Aprovado
PE,ITAPETIM,Aprovado
BA,ITAPETINGA,Aprovado
SP,ITAPETININGA,Aprovado
SP,ITAPEVA,Aprovado
MG,ITAPEVA,Não Cadastrado
SP,ITAPEVI,Aprovado
BA,ITAPICURU,Aprovado
CE,ITAPIPOCA,Aprovado
SP,ITAPIRA,Aprovado
SC,ITAPIRANGA,Aprovado
AM,ITAPIRANGA,Não Cadastrado
GO,ITAPIRAPUA,Não Cadastrado
SP,ITAPIRAPUA PAULISTA,Não Cadastrado
TO,ITAPIRATINS,Não Cadastrado
PE,ITAPISSUMA,Aprovado
BA,ITAPITANGA,Aprovado
CE,ITAPIUNA,Aprovado
SC,ITAPOA,Aprovado
SP,ITAPOLIS,Aprovado
MS,ITAPORA,Rejeitado
TO,ITAPORA DO TOCANTINS,Aprovado
SP,ITAPORANGA,Aprovado
PB,ITAPORANGA,Aprovado
SE,ITAPORANGA D'AJUDA,Aprovado
PB,ITAPOROROCA,Aprovado
RO,ITAPUA DO OESTE,Aprovado
RS,ITAPUCA,Aprovado
SP,ITAPUI,Aprovado
SP,ITAPURA,Aprovado
GO,ITAPURANGA,Em Cadastro
SP,ITAQUAQUECETUBA,Aprovado
BA,ITAQUARA,Aprovado
RS,ITAQUI,Aprovado
MS,ITAQUIRAI,Não Cadastrado
PE,ITAQUITINGA,Não Cadastrado
ES,ITARANA,Aprovado
BA,ITARANTIM,Aprovado
SP,ITARARE,Aprovado
CE,ITAREMA,Aprovado
SP,ITARIRI,Aprovado
GO,ITARUMA,Não Cadastrado
RS,ITATI,Aprovado
RJ,ITATIAIA,Aprovado
MG,ITATIAIUCU,Aprovado
SP,ITATIBA,Aprovado
RS,ITATIBA DO SUL,Não Cadastrado
BA,ITATIM,Aprovado
SP,ITATINGA,Aprovado
CE,ITATIRA,Aprovado
PB,ITATUBA,Aprovado
RN,ITAU,Aprovado
MG,ITAU DE MINAS,Aprovado
MT,ITAUBA,Não Cadastrado
AP,ITAUBAL,Aprovado
GO,ITAUCU,Aprovado
PI,ITAUEIRA,Não Cadastrado
MG,ITAUNA,Aprovado
PR,ITAUNA DO SUL,Aprovado
MG,ITAVERAVA,Aprovado
MG,ITINGA,Aprovado
MA,ITINGA DO MARANHAO,Aprovado
MT,ITIQUIRA,Não Cadastrado
SP,ITIRAPINA,Não Cadastrado
SP,ITIRAPUA,Não Cadastrado
BA,ITIRUCU,Aprovado
BA,ITIUBA,Aprovado
SP,ITOBI,Não Cadastrado
BA,ITORORO,Aprovado
SP,ITU,Aprovado
BA,ITUACU,Aprovado
BA,ITUBERA,Aprovado
MG,ITUETA,Aprovado
MG,ITUIUTABA,Aprovado
GO,ITUMBIARA,Aprovado
MG,ITUMIRIM,Aprovado
SP,ITUPEVA,Aprovado
PA,ITUPIRANGA,Aprovado
SC,ITUPORANGA,Aprovado
MG,ITURAMA,Não Cadastrado
MG,ITUTINGA,Não Cadastrado
SP,ITUVERAVA,Aprovado
BA,IUIU,Não Cadastrado
ES,IUNA,Aprovado
PR,IVAI,Aprovado
PR,IVAIPORA,Aprovado
PR,IVATE,Aprovado
PR,IVATUBA,Não Cadastrado
MS,IVINHEMA,Aprovado
GO,IVOLANDIA,Aprovado
RS,IVORA,Em Cadastro
RS,IVOTI,Aprovado
PE,JABOATAO DOS GUARARAPES,Aprovado
SC,JABORA,Aprovado
BA,JABORANDI,Aprovado
SP,JABORANDI,Aprovado
PR,JABOTI,Não Cadastrado
RS,JABOTICABA,Aprovado
SP,JABOTICABAL,Aprovado
MG,JABOTICATUBAS,Aprovado
RN,JACANA,Aprovado
BA,JACARACI,Aprovado
PB,JACARAU,Aprovado
AL,JACARE DOS HOMENS,Aprovado
PA,JACAREACANGA,Aprovado
SP,JACAREI,Aprovado
PR,JACAREZINHO,Aprovado
SP,JACI,Não Cadastrado
MT,JACIARA,Em Complementação
MG,JACINTO,Não Cadastrado
SC,JACINTO MACHADO,Aprovado
BA,JACOBINA,Aprovado
PI,JACOBINA DO PIAUI,Aprovado
MG,JACUI,Aprovado
AL,JACUIPE,Aprovado
RS,JACUIZINHO,Aprovado
PA,JACUNDA,Não Cadastrado
SP,JACUPIRANGA,Aprovado
MG,JACUTINGA,Aprovado
RS,JACUTINGA,Aprovado
PR,JAGUAPITA,Não Cadastrado
BA,JAGUAQUARA,Aprovado
MG,JAGUARACU,Aprovado
RS,JAGUARAO,Aprovado
BA,JAGUARARI,Aprovado
ES,JAGUARE,Não Cadastrado
CE,JAGUARETAMA,Aprovado
RS,JAGUARI,Aprovado
PR,JAGUARIAIVA,Aprovado
CE,JAGUARIBARA,Aprovado
CE,JAGUARIBE,Aprovado
BA,JAGUARIPE,Aprovado
SP,JAGUARIUNA,Aprovado
CE,JAGUARUANA,Aprovado
SC,JAGUARUNA,Não Cadastrado
MG,JAIBA,Aprovado
PI,JAICOS,Aprovado
SP,JALES,Aprovado
SP,JAMBEIRO,Aprovado
MG,JAMPRUCA,Aprovado
MG,JANAUBA,Aprovado
GO,JANDAIA,Não Cadastrado
PR,JANDAIA DO SUL,Aprovado
RN,JANDAIRA,Aprovado
BA,JANDAIRA,Aprovado
SP,JANDIRA,Aprovado
RN,JANDUIS,Aprovado
MT,JANGADA,Não Cadastrado
PR,JANIOPOLIS,Não Cadastrado
MG,JANUARIA,Aprovado
RN,JANUARIO CICCO,Aprovado
MG,JAPARAIBA,Aprovado
AL,JAPARATINGA,Aprovado
SE,JAPARATUBA,Aprovado
RJ,JAPERI,Aprovado
RN,JAPI,Não Cadastrado
PR,JAPIRA,Aprovado
SE,JAPOATA,Aprovado
MG,JAPONVAR,Aprovado
MS,JAPORA,Aprovado
PR,JAPURA,Não Cadastrado
AM,JAPURA,Não Cadastrado
PE,JAQUEIRA,Aprovado
RS,JAQUIRANA,Aprovado
GO,JARAGUA,Aprovado
SC,JARAGUA DO SUL,Aprovado
MS,JARAGUARI,Aprovado
AL,JARAMATAIA,Não Cadastrado
MS,JARDIM,Aprovado
CE,JARDIM,Aprovado
PR,JARDIM ALEGRE,Aprovado
RN,JARDIM DE ANGICOS,Aprovado
RN,JARDIM DE PIRANHAS,Aprovado
PI,JARDIM DO MULATO,Não Cadastrado
RN,JARDIM DO SERIDO,Aprovado
PR,JARDIM OLINDA,Não Cadastrado
SC,JARDINOPOLIS,Não Cadastrado
SP,JARDINOPOLIS,Aprovado
RS,JARI,Não Cadastrado
SP,JARINU,Aprovado
RO,JARU,Aprovado
GO,JATAI,Aprovado
PR,JATAIZINHO,Aprovado
PE,JATAUBA,Aprovado
MS,JATEI,Aprovado
CE,JATI,Não Cadastrado
PE,JATOBA,Aprovado
MA,JATOBA,Em Análise
PI,JATOBA DO PIAUI,Aprovado
SP,JAU,Aprovado
TO,JAU DO TOCANTINS,Aprovado
GO,JAUPACI,Não Cadastrado
MT,JAURU,Não Cadastrado
MG,JECEABA,Em Análise
MG,JENIPAPO DE MINAS,Aprovado
MA,JENIPAPO DOS VIEIRAS,Aprovado
MG,JEQUERI,Não Cadastrado
AL,JEQUIA DA PRAIA,Aprovado
BA,JEQUIE,Aprovado
MG,JEQUITAI,Aprovado
MG,JEQUITIBA,Aprovado
MG,JEQUITINHONHA,Aprovado
BA,JEREMOABO,Aprovado
PB,JERICO,Aprovado
SP,JERIQUARA,Não Cadastrado
ES,JERONIMO MONTEIRO,Aprovado
PI,JERUMENHA,Aprovado
MG,JESUANIA,Não Cadastrado
PR,JESUITAS,Não Cadastrado
GO,JESUPOLIS,Não Cadastrado
RO,JI-PARANA,Aprovado
CE,JIJOCA DE JERICOACOARA,Aprovado
BA,JIQUIRICA,Aprovado
BA,JITAUNA,Aprovado
SC,JOACABA,Aprovado
MG,JOAIMA,Aprovado
MG,JOANESIA,Não Cadastrado
SP,JOANOPOLIS,Aprovado
PE,JOAO ALFREDO,Aprovado
RN,JOAO CAMARA,Aprovado
PI,JOAO COSTA,Aprovado
RN,JOAO DIAS,Aprovado
BA,JOAO DOURADO,Aprovado
MA,JOAO LISBOA,Aprovado
MG,JOAO MONLEVADE,Aprovado
ES,JOAO NEIVA,Aprovado
PB,JOAO PESSOA,Aprovado
MG,JOAO PINHEIRO,Aprovado
SP,JOAO RAMALHO,Não Cadastrado
MG,JOAQUIM FELICIO,Aprovado
AL,JOAQUIM GOMES,Aprovado
PE,JOAQUIM NABUCO,Aprovado
PI,JOAQUIM PIRES,Em Cadastro
PR,JOAQUIM TAVORA,Não Cadastrado
PB,JOCA CLAUDINO,Aprovado
PI,JOCA MARQUES,Não Cadastrado
RS,JOIA,Aprovado
SC,JOINVILLE,Aprovado
MG,JORDANIA,Não Cadastrado
AC,JORDAO,Não Cadastrado
SC,JOSE BOITEUX,Em Complementação
SP,JOSE BONIFACIO,Aprovado
RN,JOSE DA PENHA,Em Cadastro
PI,JOSE DE FREITAS,Aprovado
MG,JOSE GONCALVES DE MINAS,Aprovado
MG,JOSE RAYDAN,Não Cadastrado
MA,JOSELANDIA,Não Cadastrado
MG,JOSENOPOLIS,Em Cadastro
GO,JOVIANIA,Não Cadastrado
MT,JUARA,Aprovado
PB,JUAREZ TAVORA,Aprovado
TO,JUARINA,Aprovado
MG,JUATUBA,Aprovado
PB,JUAZEIRINHO,Aprovado
BA,JUAZEIRO,Aprovado
CE,JUAZEIRO DO NORTE,Aprovado
PI,JUAZEIRO DO PIAUI,Aprovado
CE,JUCAS,Aprovado
PE,JUCATI,Aprovado
BA,JUCURUCU,Aprovado
RN,JUCURUTU,Aprovado
MT,JUINA,Aprovado
MG,JUIZ DE FORA,Aprovado
PI,JULIO BORGES,Aprovado
RS,JULIO DE CASTILHOS,Aprovado
SP,JULIO MESQUITA,Aprovado
SP,JUMIRIM,Aprovado
MA,JUNCO DO MARANHAO,Aprovado
PB,JUNCO DO SERIDO,Aprovado
RN,JUNDIA,Não Cadastrado
AL,JUNDIA,Aprovado
SP,JUNDIAI,Aprovado
PR,JUNDIAI DO SUL,Não Cadastrado
AL,JUNQUEIRO,Aprovado
SP,JUNQUEIROPOLIS,Aprovado
PE,JUPI,Aprovado
SC,JUPIA,Aprovado
SP,JUQUIA,Aprovado
SP,JUQUITIBA,Aprovado
MG,JURAMENTO,Em Complementação
PR,JURANDA,Não Cadastrado
PE,JUREMA,Aprovado
PI,JUREMA,Aprovado
PB,JURIPIRANGA,Aprovado
PB,JURU,Aprovado
AM,JURUA,Não Cadastrado
MG,JURUAIA,Aprovado
MT,JURUENA,Não Cadastrado
PA,JURUTI,Aprovado
MT,JUSCIMEIRA,Não Cadastrado
PR,JUSSARA,Não Cadastrado
BA,JUSSARA,Aprovado
GO,JUSSARA,Não Cadastrado
BA,JUSSARI,Aprovado
BA,JUSSIAPE,Aprovado
AM,JUTAI,Não Cadastrado
MS,JUTI,Não Cadastrado
MG,JUVENILIA,Aprovado
PR,KALORE,Aprovado
AM,LABREA,Não Cadastrado
SC,LACERDOPOLIS,Aprovado
MG,LADAINHA,Não Cadastrado
MS,LADARIO,Aprovado
BA,LAFAIETE COUTINHO,Aprovado
MG,LAGAMAR,Aprovado
SE,LAGARTO,Aprovado
SC,LAGES,Aprovado
MA,LAGO DA PEDRA,Aprovado
MA,LAGO DO JUNCO,Aprovado
MA,LAGO DOS RODRIGUES,Não Cadastrado
MA,LAGO VERDE,Não Cadastrado
PB,LAGOA,Aprovado
PI,LAGOA ALEGRE,Aprovado
RS,LAGOA BONITA DO SUL,Aprovado
RN,LAGOA D'ANTA,Aprovado
AL,LAGOA DA CANOA,Aprovado
TO,LAGOA DA CONFUSAO,Aprovado
MG,LAGOA DA PRATA,Aprovado
PB,LAGOA DE DENTRO,Aprovado
RN,LAGOA DE PEDRAS,Em Cadastro
PI,LAGOA DE SAO FRANCISCO,Aprovado
RN,LAGOA DE VELHOS,Aprovado
PI,LAGOA DO BARRO DO PIAUI,Aprovado
PE,LAGOA DO CARRO,Aprovado
PE,LAGOA DO ITAENGA,Aprovado
MA,LAGOA DO MATO,Não Cadastrado
PE,LAGOA DO OURO,Aprovado
PI,LAGOA DO PIAUI,Aprovado
PI,LAGOA DO SITIO,Aprovado
TO,LAGOA DO TOCANTINS,Não Cadastrado
PE,LAGOA DOS GATOS,Aprovado
MG,LAGOA DOS PATOS,Aprovado
RS,LAGOA DOS TRES CANTOS,Aprovado
MG,LAGOA DOURADA,Aprovado
MG,LAGOA FORMOSA,Não Cadastrado
MG,LAGOA GRANDE,Aprovado
PE,LAGOA GRANDE,Aprovado
MA,LAGOA GRANDE DO MARANHAO,Não Cadastrado
RN,LAGOA NOVA,Aprovado
BA,LAGOA REAL,Aprovado
RN,LAGOA SALGADA,Aprovado
MG,LAGOA SANTA,Aprovado
GO,LAGOA SANTA,Aprovado
PB,LAGOA SECA,Aprovado
RS,LAGOA VERMELHA,Aprovado
RS,LAGOAO,Não Cadastrado
SP,LAGOINHA,Aprovado
PI,LAGOINHA DO PIAUI,Aprovado
SC,LAGUNA,Aprovado
MS,LAGUNA CARAPA,Aprovado
BA,LAJE,Aprovado
RJ,LAJE DO MURIAE,Aprovado
RS,LAJEADO,Aprovado
TO,LAJEADO,Aprovado
RS,LAJEADO DO BUGRE,Não Cadastrado
SC,LAJEADO GRANDE,Aprovado
MA,LAJEADO NOVO,Não Cadastrado
BA,LAJEDAO,Não Cadastrado
BA,LAJEDINHO,Não Cadastrado
PE,LAJEDO,Aprovado
BA,LAJEDO DO TABOCAL,Não Cadastrado
RN,LAJES,Aprovado
RN,LAJES PINTADAS,Aprovado
MG,LAJINHA,Não Cadastrado
BA,LAMARAO,Não Cadastrado
MG,LAMBARI,Aprovado
MT,LAMBARI D'OESTE,Aprovado
MG,LAMIM,Aprovado
PI,LANDRI SALES,Aprovado
PR,LAPA,Aprovado
BA,LAPAO,Aprovado
ES,LARANJA DA TERRA,Aprovado
PR,LARANJAL,Não Cadastrado
MG,LARANJAL,Aprovado
AP,LARANJAL DO JARI,Aprovado
SP,LARANJAL PAULISTA,Aprovado
SE,LARANJEIRAS,Aprovado
PR,LARANJEIRAS DO SUL,Aprovado
MG,LASSANCE,Aprovado
PB,LASTRO,Aprovado
SC,LAURENTINO,Aprovado
BA,LAURO DE FREITAS,Aprovado
SC,LAURO MULLER,Aprovado
TO,LAVANDEIRA,Aprovado
SP,LAVINIA,Aprovado
MG,LAVRAS,Aprovado
CE,LAVRAS DA MANGABEIRA,Aprovado
RS,LAVRAS DO SUL,Aprovado
SP,LAVRINHAS,Aprovado
MG,LEANDRO FERREIRA,Aprovado
SC,LEBON REGIS,Aprovado
SP,LEME,Aprovado
MG,LEME DO PRADO,Aprovado
BA,LENCOIS,Aprovado
SP,LENCOIS PAULISTA,Aprovado
SC,LEOBERTO LEAL,Não Cadastrado
MG,LEOPOLDINA,Aprovado
GO,LEOPOLDO DE BULHOES,Aprovado
PR,LEOPOLIS,Não Cadastrado
RS,LIBERATO SALZANO,Aprovado
MG,LIBERDADE,Aprovado
BA,LICINIO DE ALMEIDA,Aprovado
PR,LIDIANOPOLIS,Aprovado
MA,LIMA CAMPOS,Aprovado
MG,LIMA DUARTE,Aprovado
SP,LIMEIRA,Aprovado
MG,LIMEIRA DO OESTE,Aprovado
PE,LIMOEIRO,Aprovado
AL,LIMOEIRO DE ANADIA,Aprovado
PA,LIMOEIRO DO AJURU,Aprovado
CE,LIMOEIRO DO NORTE,Aprovado
PR,LINDOESTE,Não Cadastrado
SP,LINDOIA,Aprovado
SC,LINDOIA DO SUL,Aprovado
RS,LINDOLFO COLLOR,Não Cadastrado
RS,LINHA NOVA,Não Cadastrado
ES,LINHARES,Aprovado
SP,LINS,Aprovado
PB,LIVRAMENTO,Aprovado
BA,LIVRAMENTO DE NOSSA SENHORA,Aprovado
TO,LIZARDA,Aprovado
PR,LOANDA,Aprovado
PR,LOBATO,Aprovado
PB,LOGRADOURO,Aprovado
PR,LONDRINA,Aprovado
MG,LONTRA,Aprovado
SC,LONTRAS,Aprovado
SP,LORENA,Aprovado
MA,LORETO,Aprovado
SP,LOURDES,Aprovado
SP,LOUVEIRA,Aprovado
MT,LUCAS DO RIO VERDE,Aprovado
SP,LUCELIA,Aprovado
PB,LUCENA,Aprovado
SP,LUCIANOPOLIS,Aprovado
MT,LUCIARA,Aprovado
RN,LUCRECIA,Aprovado
SP,LUIS ANTONIO,Aprovado
PI,LUIS CORREIA,Aprovado
MA,LUIS DOMINGUES,Aprovado
BA,LUIS EDUARDO MAGALHAES,Aprovado
RN,LUIS GOMES,Aprovado
MG,LUISBURGO,Em Cadastro
MG,LUISLANDIA,Em Complementação
SC,LUIZ ALVES,Aprovado
PR,LUIZIANA,Não Cadastrado
SP,LUIZIANIA,Aprovado
MG,LUMINARIAS,Aprovado
PR,LUNARDELLI,Aprovado
SP,LUPERCIO,Aprovado
PR,LUPIONOPOLIS,Aprovado
SP,LUTECIA,Aprovado
MG,LUZ,Aprovado
SC,LUZERNA,Aprovado
GO,LUZIANIA,Aprovado
PI,LUZILANDIA,Aprovado
TO,LUZINOPOLIS,Aprovado
RJ,MACAE,Aprovado
RN,MACAIBA,Aprovado
BA,MACAJUBA,Aprovado
RS,MACAMBARA,Aprovado
SE,MACAMBIRA,Aprovado
AP,MACAPA,Aprovado
PE,MACAPARANA,Aprovado
BA,MACARANI,Não Cadastrado
SP,MACATUBA,Aprovado
RN,MACAU,Aprovado
SP,MACAUBAL,Aprovado
BA,MACAUBAS,Aprovado
SP,MACEDONIA,Não Cadastrado
AL,MACEIO,Aprovado
MG,MACHACALIS,Aprovado
RS,MACHADINHO,Aprovado
RO,MACHADINHO D'OESTE,Em Complementação
MG,MACHADO,Aprovado
PE,MACHADOS,Aprovado
SC,MACIEIRA,Aprovado
RJ,MACUCO,Aprovado
BA,MACURURE,Aprovado
CE,MADALENA,Aprovado
PI,MADEIRO,Aprovado
BA,MADRE DE DEUS,Aprovado
MG,MADRE DE DEUS DE MINAS,Não Cadastrado
PB,MAE D'AGUA,Aprovado
PA,MAE DO RIO,Não Cadastrado
BA,MAETINGA,Não Cadastrado
SC,MAFRA,Aprovado
PA,MAGALHAES BARATA,Aprovado
MA,MAGALHAES DE ALMEIDA,Não Cadastrado
SP,MAGDA,Não Cadastrado
RJ,MAGE,Aprovado
BA,MAIQUINIQUE,Aprovado
BA,MAIRI,Aprovado
SP,MAIRINQUE,Aprovado
SP,MAIRIPORA,Aprovado
GO,MAIRIPOTABA,Não Cadastrado
SC,MAJOR GERCINO,Aprovado
AL,MAJOR ISIDORO,Aprovado
RN,MAJOR SALES,Aprovado
SC,MAJOR VIEIRA,Aprovado
MG,MALACACHETA,Aprovado
BA,MALHADA,Não Cadastrado
BA,MALHADA DE PEDRAS,Em Cadastro
SE,MALHADA DOS BOIS,Aprovado
SE,MALHADOR,Aprovado
PR,MALLET,Aprovado
PB,MALTA,Aprovado
PB,MAMANGUAPE,Aprovado
GO,MAMBAI,Não Cadastrado
PR,MAMBORE,Aprovado
MG,MAMONAS,Não Cadastrado
RS,MAMPITUBA,Aprovado
AM,MANACAPURU,Aprovado
PB,MANAIRA,Aprovado
AM,MANAQUIRI,Aprovado
PE,MANARI,Aprovado
AM,MANAUS,Aprovado
AC,MANCIO LIMA,Aprovado
PR,MANDAGUACU,Aprovado
PR,MANDAGUARI,Aprovado
PR,MANDIRITUBA,Aprovado
SP,MANDURI,Aprovado
PR,MANFRINOPOLIS,Não Cadastrado
MG,MANGA,Aprovado
RJ,MANGARATIBA,Aprovado
PR,MANGUEIRINHA,Não Cadastrado
MG,MANHUACU,Aprovado
MG,MANHUMIRIM,Não Cadastrado
AM,MANICORE,Aprovado
PI,MANOEL EMIDIO,Aprovado
PR,MANOEL RIBAS,Não Cadastrado
AC,MANOEL URBANO,Aprovado
RS,MANOEL VIANA,Aprovado
BA,MANOEL VITORINO,Não Cadastrado
BA,MANSIDAO,Aprovado
MG,MANTENA,Aprovado
ES,MANTENOPOLIS,Não Cadastrado
RS,MAQUINE,Aprovado
