registros,I_Cmp,I_Und
2,ARROZ IN - NATURA,SACAS COM 40 KILOS
2,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SV
2,ARROZ,SACO 5 QUILOGRAMA
2,ARROZ IN - NATURA,SACO DE 5KG
2,ARROZ IN - NATURA,PACOTES COM 5 KG
2,ARROZ,PACT
2,ARROZ IN - NATURA,PC DE 05 KG
2,ARROZ,PCTE 5KG
2,ARROZ,PCT - 1 KG
2,ARROZ,"FARDO 00000010,00 KG"
2,ARROZ,360G
2,ARROZ,500 GRAMAS
2,ARROZ,PACOTE COM 5 QUILOS
2,FARINHA ARROZ,LT
2,ARROZ,PACOTE 250G
2,ARROZ IN - NATURA,"PACOTE 2,00 KG"
2,ARROZ,FORNECIMENTO
2,ARROZ,PCT 05 KG
2,ARROZ,"PACOTE 10,00 UN"
2,ARROZ,PACOTE C/ 5KG
2,ARROZ,PACOTE COM 01 KG
2,CASCA ARROZ,"SACO 25,00 KG"
2,ARROZ,1 QUILO
2,ARROZ,EMB DE 500G
2,ARROZ,EMB DE 5KG
2,ARROZ,EMB. 500 GRAMAS
2,ARROZ,LA
2,FARINHA ARROZ,LATA 400 G
2,ARROZ,FAD
2,ARROZ,FARDO COM 30KG.
2,ARROZ,"GARRAFA 1000,00 ML"
2,ARROZ,PCT 1KG
2,ARROZ,PACOTE 05 KG
2,ARROZ IN - NATURA,PACOTE DE 1KG
2,ARROZ,PCTE 05KG
2,ARROZ IN - NATURA,PCTE 5KG
2,ARROZ,PACOTE 5 KG.
2,ARROZ,"LATA 900,00 ML"
2,ARROZ IN - NATURA,LT
2,FARINHA ARROZ,EMBALAGEM 500 G
2,ARROZ IN - NATURA,EMB 5KG
2,ARROZ IN - NATURA,EMB. DE 5 KG
2,ARROZ,"1,00 KG"
2,ARROZ IN - NATURA,"FARDO 6,00 UN"
1,ARROZ IN - NATURA,FARDO 6X5
1,ARROZ IN - NATURA,FARDO 6X5 KG
1,ARROZ,FARDO C/10 X 1
1,ARROZ IN - NATURA,FARDO COM 30KG
1,ARROZ,FARDO COM 6 FARDOS D
1,ARROZ,FARDO(C/30PCT.DE 01
1,ARROZ,FDOS
1,ARROZ,FARDO 30X1
1,ARROZ,K
1,ARROZ,KQ
1,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),LATA
1,ARROZ IN - NATURA,PCT
1,ARROZ,ARROZ TIPO 1
1,ARROZ,EMB. DE 5KG
1,CASCA ARROZ,EMBALAGEM 10 KG
1,ARROZ IN - NATURA,EMBALAGEM_DE_5KG
1,ARROZ,FARDO 10 KG.
1,ARROZ IN - NATURA,KG SACO DE40 KG
1,ARROZ,NAO INFORMADO
1,ARROZ,NT
1,ARROZ,PAC
1,ARROZ,PACOTE  05 QUILOS
1,ARROZ,"PACOTE 5,00 G"
1,ARROZ,PACOTE C/ 5 QUILOS
1,ARROZ IN - NATURA,"PACOTE COM 1,0KG"
1,ARROZ IN - NATURA,PCTE DE 5 KG
1,ARROZ IN - NATURA,PTE
1,ARROZ,QUILOGRAM
1,ARROZ IN - NATURA,PCT. 05 KG
1,ARROZ IN - NATURA,PCT. 05 TIPO 2
1,ARROZ IN - NATURA,PCT_(5KG)
1,ARROZ IN - NATURA,PACOTE DE 2 KG
1,ARROZ,PACOTE DE 500 GR
1,ARROZ,PACOTE DE QUILOGRA
1,ARROZ,PACOTES DE 5KG
1,ARROZ,PCT 05KG
1,ARROZ,UD
1,ARROZ,SM
1,ARROZ,SV
1,ARROZ IN - NATURA,SACAS DE 40 KGS.
1,ARROZ IN - NATURA,"SACO 40,00 KG"
1,ARROZ IN - NATURA,SACO 40KG
1,ARROZ,SACO C/ 30KG
1,ARROZ,SACO COM 05 KG
1,ARROZ,SC 30KG
1,ARROZ IN - NATURA,SC 5KG
1,ARROZ,GR.
1,ARROZ,KG (EMBALAGENS DE 1
1,ARROZ IN - NATURA,FD 6X5
1,ARROZ,FD C/ 30 KG
1,ARROZ,FD.C/40X1
1,ARROZ IN - NATURA,FDR
1,ARROZ,FARDO COM 6 PACOTES
1,ARROZ,FARDO COM 6X5 KG
1,ARROZ,FARDO C/ 30 KG
1,ARROZ,FARDO C/ 30 PACOTES
1,ARROZ,FARDO C/10 KILOS
1,ARROZ IN - NATURA,PACOTE 5 QUILOS
1,ARROZ IN - NATURA,PACOTE C/ 5 KG
1,ARROZ IN - NATURA,PACOTE  5K
1,ARROZ,PACOTE 01 KG
1,CASCA ARROZ,PACOTE 1 QUILOGRAMA
1,ARROZ,"LATA 400,00 G"
1,ARROZ,FARDOS C/30 KG
1,ARROZ IN - NATURA,FARDOS COM 30 PACTS
1,ARROZ,"LATA 500,00 ML"
1,ARROZ,LATAS
1,ARROZ,EMB. DE 5 KG
1,ARROZ,"EMBALAGEM 0,250000 G"
1,ARROZ IN - NATURA,CX 500GR
1,ARROZ,200G
1,ARROZ IN - NATURA,5 KG
1,ARROZ,5 KGS
1,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,98/M2
1,ARROZ,ARROZ BENEFICIADO
1,CASCA ARROZ,CAIXA
1,ARROZ IN - NATURA,FARDO
1,ARROZ IN - NATURA,UN
1,ARROZ,1
1,ARROZ,EMBALAGEM C/ 5KG
1,ARROZ,EMBALAGEM COM 1 KG
1,ARROZ IN - NATURA,FA
1,ARROZ IN - NATURA,EMBALAGEM 250G
1,ARROZ,EMBALAGEM 30 KGS
1,ARROZ,EMB DE 5 KG
1,ARROZ IN - NATURA,FARDO - 30KG
1,ARROZ IN - NATURA,FARDO 30KG C/ EMB. D
1,ARROZ,FARDO 6 X 5 KG
1,ARROZ IN - NATURA,SACOS DE 25 KILOS
1,ARROZ,SÃO GABRIEL DA CACHO
1,ARROZ,SC 5 KG
1,ARROZ,SC C/40 KG
1,CASCA ARROZ,SC.20KG
1,CASCA ARROZ,"SACO 50,00 KG"
1,FARINHA ARROZ,"SACO 500,00 G"
1,ARROZ,SACO C/05 KG
1,ARROZ,SACO DE 1 KG
1,ARROZ,"PACOTE COM 5,00 KG"
1,ARROZ,PACOTE DE 05 KG
1,ARROZ,PACOTE_5KGR.
1,ARROZ,PACOTES COM 05 KG
1,ARROZ,QUILOGRANA
1,ARROZ,PCT 5 K CADA
1,ARROZ,PCTE 5 KG
1,ARROZ IN - NATURA,PCTO 005 KG
1,CASCA ARROZ,KF
1,ARROZ IN - NATURA,KG SACO 5K
1,ARROZ IN - NATURA,KG..
1,ARROZ,KLG.
1,ARROZ,"LATA 500,00 G"
1,CASCA ARROZ,METROS CUBICO
1,ARROZ,PA
1,ARROZ,PACOTE (500 G)
1,ARROZ,"PACOTE 250,00 G"
1,ARROZ,"PACOTE 250,00 KG"
1,ARROZ,PACOTE 01KG
1,CASCA ARROZ,PACOTE 1 KG
1,ARROZ,PACOTE DE 1 KILO
