registros,I_Cmp,I_Und
19,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,UND
19,CONTROLE DE ABASTECIMENTO DE VEICULOS,UM
18,CIMENTO PORTLAND,UNIDADES
18,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,UN
18,SOFTWARE RECONHECIMENTO VOZ,UNIDADE
18,REGULADOR CRESCIMENTO PLANTA,EMBALAGEM 1 LITRO
18,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,UNIDADE
18,CIMENTO PORTLAND,PÇ
18,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,UM
18,REGULADOR CRESCIMENTO PLANTA,FRASCO
18,CIMENTO IONÔMERO VIDRO,"FRASCO 13,00 ML"
17,CIMENTO DE IONÔMERO DE VIDRO,BISNAGA
17,CIMENTO REFRATÁRIO,CAIXA
17,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,UND
17,CIMENTO DE IONÔMERO DE VIDRO,DZ
17,CIMENTO PORTLAND,"LATA 18,00 L"
17,MÁQUINA REABASTECIMENTO CARTUCHO IMPRESSORA,UNIDADE
17,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,LT
17,CIMENTO IONÔMERO VIDRO,"FRASCO 10,00 ML"
17,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,LITRO
16,CIMENTO PORTLAND,SC/50 KG
16,CIMENTO BRANCO,SACOS
16,CIMENTO REFRATÁRIO,CONJUNTO
16,CIMENTO ORTOPÉDICO,UNIDADES
16,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UMA
16,COMPONENTE BOMBA ABASTECIMENTO,UM
16,CIMENTO PORTLAND,QUILO
15,CIMENTO REFRATÁRIO,BALDE
15,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,UN
15,CIMENTO REFRATÁRIO,SACO C/ 50 KG
15,CONTROLE DE ABASTECIMENTO DE VEICULOS,CONTRATO GERENCIA
15,CIMENTO REFRATÁRIO,PACOTE
15,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UNIDADES
15,CIMENTO PORTLAND,UNID.
15,CIMENTO ORTOPÉDICO,TUBO
15,TAMPA TUBO ABASTECIMENTO,PÇ
15,CIMENTO DE IONÔMERO DE VIDRO,CAIXA
15,CIMENTO REFRATÁRIO,CX
15,CONEXAO HIDRAULICA - CIMENTO,PECA
15,TAMPA TUBO ABASTECIMENTO,PC
14,CONEXAO HIDRAULICA - CIMENTO,GALAO
14,CIMENTO PORTLAND,"SACO 42,5 KG"
14,CIMENTO PORTLAND,SACO DE 50KG
14,CIMENTO PORTLAND,PACOTE
14,CIMENTO REFRATÁRIO,BOLSA
14,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,PECA
13,CIMENTO REFRATÁRIO,SACO 20 KG
13,CIMENTO REFRATÁRIO,TONELADA
13,CIMENTO REFRATÁRIO,PCT
13,CONEXAO HIDRAULICA - CIMENTO,MT
13,CIMENTO IONÔMERO VIDRO,UND
13,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,UN
13,CIMENTO PORTLAND,SACO C/ 50KG
13,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,PC
12,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,SERVICO
12,FORNO DE ENDURECIMENTO DE MATERIAL METALICO,UNIDADE
12,CIMENTO PORTLAND,BOLSA
12,CONTROLE DE ABASTECIMENTO DE VEICULOS,TAXA
12,BUJÃO ÓLEO ABASTECIMENTO,PÇ
12,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UNID.
12,CONEXAO DE CIMENTO AMIANTO,UN
12,BUJÃO ÓLEO ABASTECIMENTO,PC
12,CIMENTO PORTLAND,"GALÃO 3,60 L"
12,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UN
12,REGULADOR CRESCIMENTO PLANTA,"GALÃO 5,00L"
12,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,SV
12,TANQUE DE CIMENTO PARA LAVAR ROUPA,PC
12,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERV
12,CONTROLE DE ABASTECIMENTO DE VEICULOS,TAXA DE ADMINISTRAÇÃ
12,CONEXAO HIDRAULICA - CIMENTO,UMA
12,REGULADOR CRESCIMENTO PLANTA,SACO
12,CIMENTO ORTOPÉDICO,FRS
12,FILTRO DESIDRATADOR - ABASTECIMENTO COMBUSTIVEL,UN
12,TANQUE DE CIMENTO PARA LAVAR ROUPA,UNID
12,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UM
11,COMPONENTE BOMBA ABASTECIMENTO,PC
11,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,JOGO
