;UF;Município;;Situação;NOME_SIMPLIFICADO;COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1;RS;AGUDO;;Aprovado;AGUDO;4300109;8501;Agudo;AGUDO;RS;Rio Grande do Sul;16401;0;S;0,694;0,847;0,524;0,752
1;SP;AGUDOS;;Aprovado;AGUDOS;3500709;6113;Agudos;AGUDOS;SP;São Paulo;37401;0;SE;0,745;0,845;0,694;0,705
1;PR;AGUDOS DO SUL;;Não Cadastrado;AGUDOS DO SUL;4100301;7405;Agudos do Sul;AGUDOS DO SUL;PR;Paraná;9470;0;S;0,66;0,79;0,543;0,671
1;ES;AGUIA BRANCA;;Aprovado;AGUIA BRANCA;3200136;5733;Águia Branca;AGUIA BRANCA;ES;Espírito Santo;9631;0;SE;0,678;0,792;0,595;0,66
1;PB;AGUIAR;;Aprovado;AGUIAR;2500205;1903;Aguiar;AGUIAR;PB;Paraíba;5630;0;NE;0,597;0,753;0,447;0,632
1;TO;AGUIARNOPOLIS;;Aprovado;AGUIARNOPOLIS;1700301;72;Aguiarnópolis;AGUIARNOPOLIS;TO;Tocantins;6892;0;N;0,657;0,804;0,571;0,618
1;MG;AIMORES;;Aprovado;AIMORES;3101102;4021;Aimorés;AIMORES;MG;Minas Gerais;25141;0;SE;0,684;0,81;0,576;0,685
1;BA;AIQUARA;;Aprovado;AIQUARA;2900603;3311;Aiquara;AIQUARA;BA;Bahia;4416;0;NE;0,583;0,733;0,471;0,573
1;CE;AIUABA;;Aprovado;AIUABA;2300408;1307;Aiuaba;AIUABA;CE;Ceará;17493;0;NE;0,569;0,749;0,474;0,518
1;MG;AIURUOCA;;Não Cadastrado;AIURUOCA;3101201;4023;Aiuruoca;AIURUOCA;MG;Minas Gerais;5976;0;SE;0,668;0,871;0,505;0,677
1;RS;AJURICABA;;Aprovado;AJURICABA;4300208;8503;Ajuricaba;AJURICABA;RS;Rio Grande do Sul;6987;0;S;0,753;0,85;0,658;0,763
1;MG;ALAGOA;;Não Cadastrado;ALAGOA;3101300;4025;Alagoa;ALAGOA;MG;Minas Gerais;2665;0;SE;0,649;0,832;0,518;0,634
