registros,I_Cmp,I_Und
8,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",LOTE
8,CARTUCHO TONER IMPRESSORA HP,METRO
8,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 2500,00 FL"
8,CARTUCHO TONER IMPRESSORA HP,UNIDADES
8,CARTUCHO IMPRESSÃO,"62,00"
8,CARTUCHO IMPRESSÃO,"CAIXA 500,00 FL"
8,CARTUCHO IMPRESSÃO,U.
8,CARTUCHO TONER IMPRESSORA NASHUA,UNIDADE
7,CARTUCHO TINTA IMPRESSORA,UNID
7,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",RECARGA DE CARTUCHO
7,CARTUCHO IMPRESSÃO,10 UN
7,CARTUCHO IMPRESSÃO,7000
7,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",*
7,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",LOTE
7,CARTUCHO IMPRESSÃO,UNIDS
7,CARTUCHO TONER COPIADORA / IMPRESSORA PANASONIC,UM
7,CARTUCHO TONER IMPRESSORA BROTHER,MILISSEGUNDOS
7,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",VB
7,CARTUCHO IMPRESSÃO,5
7,CARTUCHO TINTA IMPRESSORA HP,"LATA 500,00 G"
7,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",CARTU
7,CARTUCHO IMPRESSÃO,UN
7,CARTUCHO TONER IMPRESSORA / COPIADORA RICOH,"FRASCO 750,00 G"
7,CARTUCHO TINTA IMPRESSORA HP,FOLHA
7,CARTUCHO IMPRESSÃO,A PEÇA
7,CARTUCHO IMPRESSÃO,"CAIXA 750,00 FL"
7,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SV.
7,CARTUCHO TINTA IMPRESSORA HP,"POTE 19,50 ML"
6,CARTUCHO TINTA IMPRESSORA LEXMARK,CAIXA
6,CARTUCHO TONER IMPRESSORA HP,"RESMA 500,00 FL"
6,CARTUCHO TONER IMPRESSORA HP,SERVIÇO
6,CARTUCHO IMPRESSÃO,66
6,CARTUCHO IMPRESSÃO,P¦
6,CARTUCHO TINTA IMPRESSORA EPSON,"CAIXA 3000,00 FL"
6,CARTUCHO TINTA IMPRESSORA MITSUBISHI,UNIDADE
